"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 08 01:24:19 GMT 2022","Tue Feb 08 01:24:54 GMT 2022","34795","","com.ulashchick.podcast.grpc.AuthorizationTest","","","","testGettingListOfSubscriptionsWhenAuthorized()",""
"passed","Tue Feb 08 01:24:18 GMT 2022","Tue Feb 08 01:24:18 GMT 2022","27","","com.ulashchick.podcast.grpc.AuthServiceTest","","","","failWhenTokenIsMissing()",""
"passed","Tue Feb 08 01:25:11 GMT 2022","Tue Feb 08 01:25:11 GMT 2022","20","","com.ulashchick.podcast.auth.DependencyManagerTest","","","","testInitialization()",""
"passed","Tue Feb 08 01:25:12 GMT 2022","Tue Feb 08 01:25:22 GMT 2022","10416","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","testSubscription()",""
"passed","Tue Feb 08 01:24:56 GMT 2022","Tue Feb 08 01:24:56 GMT 2022","22","","com.ulashchick.podcast.grpc.EchoServiceTest","","","","testEcho()",""
"passed","Tue Feb 08 01:24:15 GMT 2022","Tue Feb 08 01:24:21 GMT 2022","6166","","com.ulashchick.podcast.HttpPerformanceTest","","","","testStandardHttpClient()",""
"passed","Tue Feb 08 01:24:16 GMT 2022","Tue Feb 08 01:24:17 GMT 2022","1449","","com.ulashchick.podcast.grpc.PodcastServiceTest","","","","testGetFeed()",""
"passed","Tue Feb 08 01:24:56 GMT 2022","Tue Feb 08 01:25:12 GMT 2022","15799","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","checkUserUpsertionDoesNotChangeUUID()",""
"passed","Tue Feb 08 01:24:21 GMT 2022","Tue Feb 08 01:24:56 GMT 2022","34672","","com.ulashchick.podcast.grpc.EchoServiceIntegrationTest","","","","authorizationIsNotRequired()",""
"passed","Tue Feb 08 01:25:11 GMT 2022","Tue Feb 08 01:25:11 GMT 2022","7","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","getCurrentEnvironmentWhenValueSet()",""
"passed","Tue Feb 08 01:25:11 GMT 2022","Tue Feb 08 01:25:11 GMT 2022","3","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","getCurrentEnvironmentWhenValueNotSet()",""
"passed","Tue Feb 08 01:25:11 GMT 2022","Tue Feb 08 01:25:11 GMT 2022","2","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","testEnvValues()",""
"passed","Tue Feb 08 01:24:15 GMT 2022","Tue Feb 08 01:24:18 GMT 2022","3251","","com.ulashchick.podcast.grpc.AuthServiceTest","","","","successSignIn()",""
"passed","Tue Feb 08 01:24:16 GMT 2022","Tue Feb 08 01:24:17 GMT 2022","1450","","com.ulashchick.podcast.grpc.PodcastServiceTest","","","","testSearch()",""
"passed","Tue Feb 08 01:25:22 GMT 2022","Tue Feb 08 01:25:32 GMT 2022","10181","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","firstUserSignIn()",""
"passed","Tue Feb 08 01:24:54 GMT 2022","Tue Feb 08 01:25:11 GMT 2022","16771","","com.ulashchick.podcast.grpc.AuthorizationTest","","","","testPodcastServiceDoesNotWorkWithoutAuth()",""
