"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 08 01:38:02 GMT 2022","Tue Feb 08 01:38:03 GMT 2022","1283","","com.ulashchick.podcast.grpc.PodcastServiceTest","","","","testSearch()",""
"passed","Tue Feb 08 01:38:55 GMT 2022","Tue Feb 08 01:39:05 GMT 2022","10137","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","testSubscription()",""
"passed","Tue Feb 08 01:38:40 GMT 2022","Tue Feb 08 01:38:55 GMT 2022","15722","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","checkUserUpsertionDoesNotChangeUUID()",""
"passed","Tue Feb 08 01:39:05 GMT 2022","Tue Feb 08 01:39:15 GMT 2022","9843","","com.ulashchick.podcast.common.persistance.CassandraClientTest","","","","firstUserSignIn()",""
"passed","Tue Feb 08 01:38:04 GMT 2022","Tue Feb 08 01:38:39 GMT 2022","35283","","com.ulashchick.podcast.grpc.AuthorizationTest","","","","testGettingListOfSubscriptionsWhenAuthorized()",""
"passed","Tue Feb 08 01:38:56 GMT 2022","Tue Feb 08 01:38:56 GMT 2022","1","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","testEnvValues()",""
"passed","Tue Feb 08 01:38:06 GMT 2022","Tue Feb 08 01:38:39 GMT 2022","33185","","com.ulashchick.podcast.grpc.EchoServiceIntegrationTest","","","","authorizationIsNotRequired()",""
"passed","Tue Feb 08 01:38:00 GMT 2022","Tue Feb 08 01:38:06 GMT 2022","6071","","com.ulashchick.podcast.HttpPerformanceTest","","","","testStandardHttpClient()",""
"passed","Tue Feb 08 01:38:40 GMT 2022","Tue Feb 08 01:38:40 GMT 2022","20","","com.ulashchick.podcast.grpc.EchoServiceTest","","","","testEcho()",""
"passed","Tue Feb 08 01:38:03 GMT 2022","Tue Feb 08 01:38:03 GMT 2022","22","","com.ulashchick.podcast.grpc.AuthServiceTest","","","","failWhenTokenIsMissing()",""
"passed","Tue Feb 08 01:38:55 GMT 2022","Tue Feb 08 01:38:55 GMT 2022","33","","com.ulashchick.podcast.auth.DependencyManagerTest","","","","testInitialization()",""
"passed","Tue Feb 08 01:38:00 GMT 2022","Tue Feb 08 01:38:03 GMT 2022","3006","","com.ulashchick.podcast.grpc.AuthServiceTest","","","","successSignIn()",""
"passed","Tue Feb 08 01:38:56 GMT 2022","Tue Feb 08 01:38:56 GMT 2022","55","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","getCurrentEnvironmentWhenValueSet()",""
"passed","Tue Feb 08 01:38:02 GMT 2022","Tue Feb 08 01:38:03 GMT 2022","1287","","com.ulashchick.podcast.grpc.PodcastServiceTest","","","","testGetFeed()",""
"passed","Tue Feb 08 01:38:39 GMT 2022","Tue Feb 08 01:38:55 GMT 2022","15979","","com.ulashchick.podcast.grpc.AuthorizationTest","","","","testPodcastServiceDoesNotWorkWithoutAuth()",""
"passed","Tue Feb 08 01:38:56 GMT 2022","Tue Feb 08 01:38:56 GMT 2022","18","","com.ulashchick.podcast.common.config.EnvironmentServiceTest","","","","getCurrentEnvironmentWhenValueNotSet()",""
